0.617,-0.440,-160.000,160.000,-8.693,-0.011,0.517,-0.352,-160.000,160.000,-8.691,-0.010
-1.940,14.293,-160.000,160.000,-7.475,0.128,2.696,-14.033,-160.000,160.000,-7.512,-0.124
-2.765,17.164,-129.668,160.000,-6.364,0.157,3.313,-16.905,-129.722,160.000,-6.436,-0.147
-2.970,15.408,-60.909,108.169,-5.375,0.147,3.345,-15.227,-60.942,107.500,-5.481,-0.137
-2.344,9.046,-20.615,15.841,-4.662,0.093,2.586,-8.955,-20.748,15.364,-4.798,-0.086
-1.441,2.748,-10.116,-6.187,-4.322,0.030,1.629,-2.729,-10.308,-6.479,-4.478,-0.027
-1.027,0.162,-6.218,-12.198,-4.061,0.001,1.184,-0.149,-6.435,-12.392,-4.231,0.001
-0.854,-0.777,-4.039,-14.087,-3.816,-0.010,0.994,0.791,-4.266,-14.232,-3.997,0.012
-0.771,-1.120,-2.408,-14.804,-3.572,-0.015,0.901,1.135,-2.638,-14.922,-3.761,0.017
-0.720,-1.252,-1.003,-15.161,-3.328,-0.018,0.844,1.266,-1.235,-15.263,-3.521,0.020
-0.679,-1.308,0.275,-15.401,-3.083,-0.019,0.800,1.322,0.041,-15.491,-3.280,0.021
-0.641,-1.335,1.458,-15.597,-2.840,-0.019,0.759,1.348,1.222,-15.679,-3.038,0.021
-0.602,-1.350,2.560,-15.772,-2.600,-0.019,0.720,1.363,2.322,-15.846,-2.797,0.022
-0.563,-1.358,3.588,-15.929,-2.363,-0.019,0.680,1.371,3.347,-15.997,-2.559,0.022
-0.522,-1.363,4.543,-16.066,-2.131,-0.019,0.640,1.376,4.300,-16.128,-2.324,0.022
-0.480,-1.364,5.431,-16.182,-1.905,-0.019,0.599,1.377,5.185,-16.238,-2.093,0.022
-0.440,-1.360,6.252,-16.274,-1.686,-0.019,0.556,1.376,6.004,-16.324,-1.868,0.022
-0.398,-1.356,7.009,-16.339,-1.473,-0.019,0.516,1.368,6.759,-16.385,-1.649,0.021
-0.355,-1.349,7.704,-16.378,-1.268,-0.018,0.474,1.361,7.453,-16.418,-1.437,0.021
-0.311,-1.340,8.339,-16.389,-1.071,-0.018,0.432,1.352,8.088,-16.424,-1.232,0.021
-0.268,-1.330,8.917,-16.373,-0.882,-0.018,0.390,1.342,8.667,-16.402,-1.035,0.020
-0.225,-1.317,9.438,-16.330,-0.701,-0.017,0.348,1.329,9.190,-16.353,-0.845,0.020
-0.182,-1.302,9.907,-16.261,-0.529,-0.017,0.306,1.315,9.661,-16.278,-0.664,0.020
-0.140,-1.286,10.323,-16.168,-0.365,-0.016,0.264,1.298,10.082,-16.178,-0.491,0.019
-0.099,-1.268,10.691,-16.051,-0.210,-0.016,0.222,1.280,10.455,-16.054,-0.327,0.019
-0.058,-1.248,11.011,-15.911,-0.063,-0.015,0.181,1.261,10.781,-15.908,-0.170,0.019
-0.018,-1.226,11.285,-15.752,0.075,-0.015,0.141,1.239,11.064,-15.741,-0.023,0.018
0.020,-1.203,11.517,-15.574,0.205,-0.014,0.102,1.217,11.304,-15.556,0.117,0.018
0.058,-1.179,11.707,-15.379,0.326,-0.014,0.064,1.193,11.504,-15.354,0.248,0.017
0.094,-1.154,11.858,-15.169,0.440,-0.013,0.027,1.168,11.667,-15.137,0.370,0.017
0.129,-1.127,11.972,-14.946,0.545,-0.013,-0.010,1.142,11.793,-14.907,0.485,0.016
0.162,-1.100,12.051,-14.710,0.643,-0.012,-0.045,1.114,11.885,-14.664,0.592,0.016
0.194,-1.071,12.097,-14.465,0.733,-0.012,-0.078,1.087,11.945,-14.412,0.691,0.016
0.224,-1.042,12.113,-14.210,0.815,-0.011,-0.110,1.058,11.975,-14.151,0.782,0.015
0.253,-1.013,12.099,-13.948,0.891,-0.011,-0.141,1.029,11.976,-13.883,0.866,0.015
0.281,-0.982,12.059,-13.680,0.959,-0.010,-0.171,0.999,11.951,-13.609,0.943,0.014
0.538,-1.108,7.516,15.729,0.980,-0.025,-0.389,1.140,7.425,15.827,0.983,0.029
0.623,-0.930,4.833,39.755,1.004,-0.028,-0.451,0.977,4.758,39.874,1.023,0.033
0.646,-0.698,3.426,59.396,1.028,-0.028,-0.463,0.756,3.368,59.529,1.061,0.033
0.647,-0.487,2.881,75.458,1.054,-0.026,-0.461,0.551,2.841,75.600,1.098,0.032
0.644,-0.325,2.903,88.594,1.078,-0.025,-0.461,0.391,2.882,88.742,1.132,0.030
0.644,-0.214,3.282,99.337,1.102,-0.023,-0.467,0.279,3.279,99.487,1.163,0.029
0.648,-0.146,3.870,108.120,1.125,-0.021,-0.479,0.209,3.886,108.269,1.192,0.027
0.654,-0.111,4.564,115.296,1.145,-0.019,-0.495,0.171,4.598,115.444,1.217,0.025
0.659,-0.093,5.293,121.156,1.163,-0.017,-0.511,0.149,5.344,121.302,1.238,0.023
0.666,-0.097,6.009,125.937,1.178,-0.015,-0.529,0.148,6.077,126.079,1.257,0.021
0.674,-0.113,6.681,129.834,1.190,-0.013,-0.548,0.160,6.764,129.971,1.271,0.019
0.680,-0.136,7.290,133.004,1.200,-0.011,-0.566,0.179,7.389,133.137,1.283,0.017
0.686,-0.164,7.827,135.580,1.206,-0.010,-0.582,0.202,7.939,135.708,1.291,0.014
0.682,-0.177,8.740,137.661,0.711,-0.008,-0.593,0.209,8.895,137.779,0.784,0.013
-9.573,-4.903,160.000,-160.000,13.062,-0.007,-10.189,58.631,160.000,-160.000,11.440,0.012
-4.512,-12.266,160.000,-160.000,12.413,-0.167,0.831,34.674,160.000,-160.000,10.998,-0.267
-3.163,-13.741,160.000,-160.000,11.795,-0.208,4.646,23.905,160.000,-160.000,10.581,-0.289
-2.855,-13.624,125.638,-160.000,11.204,-0.224,5.556,18.529,160.000,-160.000,10.183,-0.229
-3.350,-12.314,91.951,-123.104,10.557,-0.230,5.063,15.527,160.000,-160.000,9.793,-0.152
-4.770,-10.915,62.795,-61.539,9.833,-0.224,3.377,13.288,160.000,-145.935,9.408,-0.076
-6.990,-9.803,39.116,-21.039,9.034,-0.200,0.796,11.245,160.000,-68.996,9.008,-0.008
-8.370,-8.524,19.805,4.112,8.194,-0.184,-1.040,9.909,160.000,-16.874,8.533,0.038
-9.118,-7.225,3.901,19.011,7.342,-0.172,-2.403,9.064,160.000,18.374,8.015,0.068
-9.393,-5.981,-9.319,27.107,6.498,-0.164,-3.467,8.539,132.201,42.103,7.478,0.088
24.343,-22.162,-101.819,-160.000,4.915,-0.156,10.593,-60.000,-160.000,-38.822,4.815,0.085
16.332,0.143,-98.936,-95.032,4.058,0.082,0.757,-46.380,-159.390,-11.371,3.865,0.379
14.189,9.392,-93.617,-48.371,3.186,0.131,-3.914,-27.670,-146.892,3.556,2.922,0.471
13.889,12.413,-86.897,-18.446,2.332,0.130,-4.733,-19.133,-133.752,11.524,2.035,0.421
13.753,13.121,-79.485,0.399,1.520,0.128,-4.554,-14.735,-120.970,15.387,1.220,0.335
13.412,12.898,-71.872,11.981,0.765,0.131,-4.273,-12.110,-108.986,16.938,0.483,0.248
12.862,12.265,-64.382,18.859,0.075,0.139,-4.123,-10.312,-97.966,17.266,-0.176,0.170
12.172,11.446,-57.210,22.732,-0.545,0.147,-4.123,-8.950,-87.939,17.005,-0.761,0.104
11.407,10.552,-50.468,24.719,-1.096,0.153,-4.238,-7.856,-78.867,16.507,-1.277,0.048
10.616,9.646,-44.210,25.544,-1.580,0.157,-4.426,-6.950,-70.679,15.951,-1.727,0.000
40.385,5.114,153.039,114.227,-0.640,0.157,-15.630,-14.341,-27.576,160.000,-3.035,-0.039
38.678,6.885,143.551,92.237,-0.674,0.253,-15.946,-9.562,-14.969,160.000,-3.224,-0.131
39.134,6.962,133.091,77.686,-0.682,0.276,-10.638,-9.350,5.269,160.000,-4.220,-0.820
37.743,7.406,122.477,67.437,-0.677,0.325,-11.287,-8.108,30.156,93.919,-4.704,-0.444
35.949,7.218,110.466,61.259,-0.667,0.354,-11.817,-8.909,42.759,46.563,-5.125,-0.223
41.872,-1.951,128.346,9.357,-4.864,0.217,-10.817,-10.643,47.888,22.706,-5.550,-0.114
45.755,-6.322,131.518,-9.655,-8.397,0.128,-9.759,-11.630,46.610,11.892,-5.978,-0.056
48.000,-8.271,126.190,-11.748,-11.194,0.070,-9.134,-11.766,42.100,6.899,-6.354,-0.019
48.000,-9.079,116.305,-6.691,-13.260,0.034,-8.999,-11.374,36.127,4.355,-6.654,0.007
48.000,-7.487,155.619,-123.437,-5.777,-0.013,-8.157,-8.144,32.066,4.171,-6.853,0.014
33.709,13.533,138.032,-138.907,0.916,-0.023,4.677,17.525,27.748,22.956,-8.272,0.014
36.774,12.667,148.984,-160.000,3.885,-0.028,9.383,11.123,22.875,19.361,-7.982,-0.005
39.632,12.291,152.728,-160.000,5.747,-0.030,12.428,9.115,16.707,17.528,-7.694,-0.003
42.152,11.956,152.228,-160.000,6.920,-0.030,14.526,8.604,10.215,15.850,-7.402,0.004
44.084,10.734,149.869,-160.000,7.641,-0.031,15.662,4.840,17.500,-18.864,-4.207,-0.001
45.494,9.903,144.884,-160.000,8.089,-0.030,16.494,2.472,18.795,-39.264,-2.198,-0.004
46.576,9.311,138.405,-160.000,8.365,-0.029,17.146,0.939,16.464,-50.664,-0.937,-0.005
47.451,8.863,131.151,-160.000,8.532,-0.028,17.691,-0.090,12.006,-56.432,-0.146,-0.005
48.000,8.502,123.499,-160.000,8.635,-0.026,18.138,-0.782,6.150,-58.318,0.357,-0.004
