0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.044,-0.024,0.295,0.006,-0.640,0.302,-0.038,-0.039,0.300,-0.004,-0.669,0.311,0.013,-0.003,-0.005,0.000,0.000,-0.000,0.000,0.000,-1.600,3.200,-1.600,-0.000,-0.000,-0.000,-1.600,3.200,-1.600,0.000
0.208,0.978,0.000,0.000,0.000,-0.001,0.004,-0.071,0.148,-0.067,0.013,0.000,-0.004,-0.071,0.147,-0.067,-0.015,-0.344,2.103,-0.362,1.278,-2.650,7.648,0.313,-2.061,-0.366,1.270,-2.644,-7.601,0.022,0.927,-0.000,0.000,0.008,-0.000,0.000,0.000,-1.600,3.200,-1.600,-0.000,-0.000,-0.000,-1.600,3.200,-1.600,0.000
0.407,0.914,0.000,0.000,0.000,-0.001,-0.002,-0.126,0.278,-0.117,-0.006,-0.000,-0.001,-0.125,0.277,-0.117,-0.010,-0.319,1.628,0.081,1.111,-1.744,8.677,0.284,-1.595,0.086,1.083,-1.727,-9.071,0.017,0.597,0.013,0.001,0.015,-0.000,0.009,-0.119,-1.464,2.952,-1.303,-0.215,-0.015,0.061,-1.457,2.950,-1.301,-0.075
0.588,0.809,0.000,0.000,0.000,0.000,-0.012,-0.161,0.367,-0.137,-0.034,-0.001,0.004,-0.162,0.367,-0.143,-0.010,-0.226,0.894,0.492,-0.144,-0.589,6.122,0.191,-1.012,0.427,-0.053,-0.919,-7.961,0.028,0.457,0.005,0.001,0.016,0.000,0.007,-0.210,-1.319,2.747,-0.904,-0.395,-0.022,0.104,-1.348,2.729,-1.072,-0.195
0.743,0.669,0.000,0.000,0.000,0.002,-0.019,-0.186,0.423,-0.134,-0.061,-0.002,0.009,-0.187,0.424,-0.164,-0.013,-0.125,0.569,0.791,-1.349,0.498,3.558,0.188,-0.776,0.733,-1.298,-0.781,-7.246,0.011,0.413,-0.008,0.001,0.020,-0.000,0.040,-0.210,-1.224,2.581,-0.476,-0.534,-0.022,0.125,-1.259,2.589,-1.079,-0.189
0.866,0.500,0.000,0.000,0.000,0.004,-0.028,-0.201,0.458,-0.100,-0.093,-0.002,0.013,-0.203,0.462,-0.169,-0.010,-0.005,0.318,1.167,-2.258,2.151,1.567,0.254,-0.685,1.159,-2.153,0.087,-6.631,-0.010,0.298,-0.016,0.002,0.019,-0.000,0.076,-0.260,-1.100,2.430,0.259,-0.743,0.019,0.142,-1.112,2.489,-0.731,-0.033
0.951,0.309,0.000,0.000,0.000,0.007,-0.035,-0.207,0.474,-0.032,-0.115,-0.000,0.017,-0.209,0.483,-0.154,0.002,0.069,0.199,1.548,-3.085,3.978,0.369,0.302,-0.670,1.553,-2.889,1.091,-5.864,-0.032,0.201,-0.021,0.002,0.017,-0.000,0.106,-0.275,-0.952,2.245,1.143,-0.737,0.035,0.140,-0.966,2.326,-0.306,0.150
0.995,0.105,0.000,0.000,0.000,0.012,-0.041,-0.203,0.478,0.068,-0.122,0.003,0.016,-0.213,0.499,-0.145,0.036,0.214,0.218,2.021,-3.558,5.742,0.449,0.364,-0.785,1.526,-3.025,0.667,-3.671,-0.069,0.107,-0.083,-0.001,0.016,-0.001,0.250,-0.254,-0.683,2.127,2.141,-0.476,0.029,0.042,-1.019,2.186,-0.498,0.637
0.995,-0.105,0.000,0.000,0.000,0.021,-0.043,-0.191,0.474,0.193,-0.120,0.009,0.012,-0.215,0.501,-0.146,0.076,0.377,0.372,2.395,-3.882,7.255,1.211,0.453,-0.781,1.590,-3.536,0.094,-1.501,-0.130,0.064,-0.185,-0.002,0.011,-0.003,0.344,-0.214,-0.487,1.954,3.082,-0.336,0.105,-0.021,-0.977,2.042,-0.707,0.890
0.951,-0.309,0.000,0.000,0.000,0.026,-0.036,-0.178,0.489,0.194,-0.105,0.014,0.007,-0.215,0.492,-0.150,0.108,-0.073,1.210,2.178,-0.185,-7.805,2.094,0.352,-0.776,1.722,-4.173,0.024,0.098,-0.103,0.099,-0.158,-0.005,0.009,-0.007,0.244,-0.155,-0.442,1.756,3.410,-0.521,0.166,-0.064,-0.938,1.846,-0.718,0.888
0.866,-0.500,0.000,0.000,0.000,0.028,-0.037,-0.132,0.476,0.020,-0.106,0.017,0.006,-0.215,0.483,-0.099,0.090,0.153,0.027,2.725,-1.400,-8.803,0.932,0.351,-0.604,1.439,-4.138,3.179,-2.515,0.099,-0.075,-0.064,-0.006,0.004,-0.011,0.143,-0.317,0.168,1.516,5.000,-0.981,0.187,0.045,-0.893,1.799,0.624,0.124
0.743,-0.669,0.000,0.000,0.000,0.027,-0.043,-0.087,0.466,-0.145,-0.074,0.017,0.002,-0.207,0.458,0.007,0.064,-0.106,0.076,3.155,-2.313,-8.302,1.619,0.116,-0.681,1.940,-4.532,5.979,-3.562,0.129,-0.139,0.161,-0.004,-0.001,-0.007,0.096,-0.369,0.464,1.746,5.000,-0.187,0.001,-0.054,-0.669,1.482,2.058,-0.287
