0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.000,0.000,-0.000,0.005,0.001,0.013,0.001,0.000,0.000,0.000,0.000,-1.600,3.200,-1.600,-0.000,-0.000,-1.600,3.200,-1.600
0.195,0.981,0.000,0.000,0.000,0.000,-0.002,-0.120,0.234,-0.068,-0.000,0.002,-0.120,0.234,-0.068,-0.007,0.132,-5.161,10.053,-3.072,0.008,-0.127,-5.161,10.057,-3.072,-0.009,0.873,0.012,0.001,0.013,-0.001,0.000,0.000,-1.600,3.200,-1.600,0.000,0.000,-1.600,3.200,-1.600
0.383,0.924,0.000,0.000,0.000,0.000,-0.002,-0.194,0.372,-0.124,-0.001,0.004,-0.197,0.379,-0.122,-0.000,-0.029,-3.327,6.191,-2.756,-0.035,0.127,-3.463,6.435,-2.626,0.012,0.612,-0.020,-0.000,0.027,0.001,-0.001,-0.020,-1.462,2.828,-1.584,-0.009,0.053,-1.517,2.902,-1.540
0.556,0.831,0.000,0.000,0.000,0.002,-0.004,-0.237,0.447,-0.173,-0.002,0.009,-0.244,0.463,-0.168,0.105,-0.090,-1.896,3.365,-2.294,-0.053,0.198,-2.096,3.759,-2.192,-0.005,0.392,-0.027,0.000,0.038,0.000,0.091,-0.028,-1.325,2.519,-1.554,-0.066,0.075,-1.399,2.666,-1.506
0.707,0.707,0.000,0.000,0.000,0.004,-0.007,-0.257,0.478,-0.208,-0.004,0.011,-0.271,0.506,-0.202,0.123,-0.145,-0.915,1.404,-1.649,-0.121,0.101,-1.238,1.906,-1.564,0.004,0.249,-0.018,-0.001,0.043,-0.001,0.085,-0.053,-1.194,2.224,-1.437,-0.096,0.057,-1.343,2.432,-1.402
0.831,0.556,0.000,0.000,0.000,0.007,-0.009,-0.263,0.480,-0.231,-0.008,0.013,-0.285,0.523,-0.222,0.152,-0.119,-0.264,0.126,-1.001,-0.204,0.109,-0.629,0.775,-0.883,0.016,0.144,-0.031,0.000,0.047,-0.002,0.116,-0.052,-1.096,1.954,-1.289,-0.137,0.067,-1.253,2.265,-1.208
0.924,0.383,0.000,0.000,0.000,0.011,-0.014,-0.257,0.464,-0.233,-0.011,0.013,-0.287,0.522,-0.233,0.244,-0.208,0.272,-0.650,0.012,-0.183,0.006,-0.039,0.000,-0.459,0.009,0.014,-0.010,0.001,0.047,-0.002,0.142,-0.093,-0.955,1.725,-0.890,-0.121,0.048,-1.129,2.099,-1.086
0.981,0.195,0.000,0.000,0.000,0.019,-0.019,-0.243,0.431,-0.225,-0.015,0.016,-0.281,0.512,-0.234,0.451,-0.218,0.639,-1.375,0.408,-0.144,0.122,0.254,-0.396,0.012,-0.044,-0.067,-0.036,0.000,0.046,-0.002,0.268,-0.104,-0.836,1.431,-0.733,-0.147,0.078,-1.055,1.970,-0.906
1.000,0.000,0.000,0.000,0.000,0.023,-0.022,-0.263,0.484,-0.264,-0.018,0.015,-0.269,0.502,-0.267,-0.201,0.054,-2.957,7.579,-4.264,-0.324,0.110,1.084,0.388,-8.687,-0.007,-0.101,0.078,-0.001,0.044,-0.003,0.295,-0.144,-0.543,1.157,-0.614,-0.063,0.048,-1.022,1.848,-0.582
0.981,-0.195,0.000,0.000,0.000,0.017,-0.016,-0.277,0.600,-0.341,-0.024,0.022,-0.283,0.615,-0.344,-0.306,0.318,0.579,4.820,-3.581,-0.276,0.404,0.451,4.767,-3.535,0.265,-1.564,-0.351,0.004,0.024,-0.008,0.360,-0.239,-0.412,0.814,-0.803,-0.274,0.282,-0.960,1.485,-0.409
0.924,-0.383,0.000,0.000,0.000,0.013,-0.011,-0.243,0.672,-0.403,-0.027,0.029,-0.251,0.686,-0.406,-0.098,0.209,2.101,3.011,-2.819,-0.037,0.323,2.042,2.927,-2.760,0.138,-2.236,-0.280,0.009,-0.017,-0.014,0.536,-0.142,-0.685,0.464,-1.725,-0.442,0.269,-0.690,0.965,-0.573
0.831,-0.556,0.000,0.000,0.000,0.013,-0.008,-0.196,0.717,-0.452,-0.025,0.034,-0.205,0.729,-0.454,0.064,0.112,2.377,1.808,-2.143,0.140,0.182,2.390,1.675,-2.083,-0.007,-2.118,-0.168,0.009,-0.061,-0.019,0.272,0.058,-0.760,0.006,-2.383,-0.199,0.119,-0.539,0.818,-0.695
0.707,-0.707,0.000,0.000,0.000,0.015,-0.012,-0.154,0.742,-0.484,-0.022,0.030,-0.158,0.750,-0.487,0.107,-0.366,1.946,0.952,-1.343,0.181,-0.309,2.224,0.744,-1.415,-0.063,-1.665,0.254,0.008,-0.098,-0.018,0.031,-0.052,-0.974,-0.306,-2.646,-0.101,0.024,-0.276,0.732,-1.098
0.556,-0.831,0.000,0.000,0.000,0.018,-0.020,-0.120,0.752,-0.504,-0.018,0.023,-0.118,0.755,-0.507,0.164,-0.371,1.514,0.234,-0.733,0.220,-0.365,1.824,-0.028,-0.784,-0.117,-1.156,0.372,0.005,-0.126,-0.011,0.164,0.153,-1.040,-0.697,-2.815,-0.210,0.006,-0.122,0.301,-1.086
0.383,-0.924,0.000,0.000,0.000,0.021,-0.029,-0.092,0.747,-0.510,-0.014,0.013,-0.082,0.745,-0.516,0.084,-0.505,1.334,-0.547,-0.109,0.129,-0.529,1.696,-0.779,-0.243,-0.078,-0.767,0.491,0.003,-0.144,-0.002,0.140,0.120,-0.932,-0.957,-2.912,-0.311,-0.133,0.012,0.129,-1.191
