0.988,-0.156,-0.200,0.000,0.000,0.002,-0.001,0.002,-0.001,0.003,-0.006,-0.005,0.036,0.124,-0.181,0.052,0.006,0.003,0.035,0.135,-0.217,0.003,0.000,0.000,0.000,0.001,-0.000,0.000,0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.278,-0.365,0.142,0.010,0.877,-0.059,0.081,-0.625,0.694,-0.453
0.951,-0.309,-0.200,0.000,0.000,0.000,-0.001,0.000,-0.001,0.003,-0.006,-0.005,0.036,0.124,-0.181,0.052,0.006,0.003,0.034,0.136,-0.217,0.003,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.001,-0.000,0.000,-0.000,0.247,-0.360,0.141,0.030,0.870,-0.070,0.080,-0.633,0.632,-0.446
0.891,-0.454,-0.200,0.000,0.000,0.038,0.041,-0.015,-0.001,0.003,-0.001,-0.006,0.041,0.124,-0.181,0.055,0.004,0.004,0.005,0.163,-0.218,0.005,0.034,-0.010,0.024,0.003,0.004,0.013,-0.012,0.011,-0.164,0.110,-0.004,0.012,0.214,-0.363,0.146,0.050,0.857,-0.075,0.074,-0.634,0.555,-0.420
0.809,-0.588,-0.200,0.000,0.000,0.042,0.095,-0.074,-0.000,0.003,0.005,-0.014,0.041,0.125,-0.179,0.057,0.001,0.010,-0.032,0.196,-0.216,0.006,0.010,-0.033,-0.007,0.007,0.006,0.004,-0.010,0.029,-0.117,0.136,0.016,0.009,0.055,-0.241,-0.012,0.150,0.910,-0.129,0.021,-0.557,0.407,-0.397
0.707,-0.707,-0.200,0.000,0.000,0.007,0.049,-0.054,-0.000,0.004,0.003,-0.045,0.027,0.133,-0.172,0.040,-0.005,0.025,-0.088,0.240,-0.205,0.010,-0.004,-0.094,-0.025,0.021,0.012,-0.046,-0.013,0.026,-0.129,0.062,0.019,0.002,-0.005,-0.312,0.025,0.198,0.852,-0.157,0.039,-0.448,0.094,-0.271
0.588,-0.809,-0.200,0.000,0.000,0.058,0.006,0.021,-0.000,0.004,-0.007,-0.095,0.009,0.150,-0.174,0.056,-0.015,0.031,-0.128,0.211,-0.193,0.024,-0.019,-0.107,-0.023,0.014,-0.006,0.026,-0.018,0.007,-0.071,-0.122,0.031,0.013,-0.086,-0.223,-0.091,0.190,0.736,-0.137,0.044,-0.220,-0.095,-0.060
0.454,-0.891,-0.200,0.000,0.000,0.018,-0.043,0.029,0.000,0.004,-0.014,-0.130,-0.001,0.153,-0.173,0.058,-0.023,0.029,-0.136,0.192,-0.125,0.019,-0.015,-0.072,-0.025,0.003,0.006,0.003,-0.019,-0.013,0.010,0.032,0.258,0.015,-0.080,-0.106,-0.211,0.290,0.590,-0.206,0.177,-0.070,-0.151,0.110
0.309,-0.951,-0.200,0.000,0.000,-0.026,0.010,0.004,0.000,0.004,-0.015,-0.143,-0.011,0.161,-0.170,0.063,-0.026,0.027,-0.128,0.188,-0.077,0.018,-0.001,-0.018,-0.022,0.015,0.014,0.047,0.002,0.011,0.013,-0.010,-0.026,-0.061,-0.038,-0.031,-0.251,0.187,0.515,-0.169,0.193,-0.114,-0.138,0.185
0.156,-0.988,-0.200,0.000,0.000,-0.006,0.040,-0.052,-0.000,0.004,-0.014,-0.133,-0.021,0.156,-0.157,0.083,-0.023,0.037,-0.128,0.178,-0.124,0.002,0.002,0.053,-0.023,-0.018,0.027,0.009,0.003,0.032,-0.007,-0.023,-0.097,-0.041,0.004,-0.138,-0.119,0.186,0.396,-0.134,0.169,-0.128,0.179,0.343
0.000,-1.000,-0.200,0.000,0.000,0.022,-0.024,-0.029,-0.000,0.004,-0.014,-0.104,-0.022,0.151,-0.148,0.059,-0.021,0.053,-0.131,0.179,-0.102,0.023,-0.001,0.090,0.004,-0.016,0.018,-0.083,0.010,0.044,-0.015,0.014,0.113,-0.005,-0.010,-0.178,-0.062,0.140,0.370,-0.135,0.088,-0.134,0.117,0.414
-0.156,-0.988,-0.200,0.000,0.000,0.003,-0.055,-0.075,-0.000,0.004,-0.016,-0.066,-0.018,0.147,-0.147,0.059,-0.021,0.067,-0.131,0.175,-0.079,0.010,-0.004,0.061,0.014,-0.006,-0.009,0.011,-0.003,0.011,0.008,-0.004,-0.038,0.043,-0.000,-0.139,-0.127,0.070,0.342,-0.110,0.121,-0.126,0.052,0.418
-0.309,-0.951,-0.200,0.000,0.000,0.003,-0.063,-0.062,-0.000,0.003,-0.016,-0.053,-0.016,0.146,-0.149,0.061,-0.020,0.065,-0.128,0.174,-0.096,-0.008,0.004,0.018,0.004,0.001,0.000,0.002,0.002,-0.009,0.007,0.000,-0.017,-0.122,0.006,-0.156,-0.101,0.019,0.294,-0.135,0.078,-0.131,0.140,0.477
